gene_id	microbiota	se	pval	chr	gene_name	Tissue	diseases
ENSG00000188690.12	genus.Actinomyces.id.423	0.034114950598862	1.1480984430799e-06	10	UROS	Transverse	NA
ENSG00000073417.14	genus.Actinomyces.id.423	0.0593989695529414	6.25807240806026e-05	15	PDE8A	Transverse	NA
ENSG00000140265.12	genus.Actinomyces.id.423	0.0243899113268431	0.000384419926332545	15	ZSCAN29	Transverse	NA
ENSG00000249839.1	genus.Actinomyces.id.423	0.0110466398654563	0.00037743640203903	15	AC011330.5	Transverse	NA
ENSG00000108384.14	genus.Actinomyces.id.423	0.0248853815581844	2.10025211382355e-11	17	RAD51C	Transverse	NA
ENSG00000213246.6	genus.Actinomyces.id.423	0.0232074828428196	3.38546803175773e-09	17	SUPT4H1	Transverse	NA
ENSG00000145354.9	genus.Actinomyces.id.423	0.0544495934697539	0.000102095781497897	4	CISD2	Transverse	NA
ENSG00000163281.11	genus.Actinomyces.id.423	0.0308685976210171	3.88994171486087e-05	4	GNPDA2	Transverse	NA
ENSG00000047936.10	genus.Actinomyces.id.423	0.0569245322688554	0.000247052878028291	6	ROS1	Transverse	NA
ENSG00000112232.8	genus.Actinomyces.id.423	0.0212738771734965	0.000339352503381914	6	KHDRBS2	Transverse	NA
ENSG00000161912.17	genus.Actinomyces.id.423	0.0261229136788645	0.000561067993477225	6	ADCY10P1	Transverse	NA
ENSG00000179344.16	genus.Actinomyces.id.423	0.0140411491168222	0.000166272497857769	6	HLA-DQB1	Transverse	NA
ENSG00000181315.10	genus.Actinomyces.id.423	0.0173625305138447	0.000213999594799915	6	ZNF322	Transverse	NA
ENSG00000198502.5	genus.Actinomyces.id.423	0.00970778516277229	3.78196272917929e-08	6	HLA-DRB5	Transverse	NA
ENSG00000203875.10	genus.Actinomyces.id.423	0.00813241271588339	5.44894456537599e-08	6	SNHG5	Transverse	NA
ENSG00000206344.7	genus.Actinomyces.id.423	0.0214533705966809	5.67540208445614e-07	6	HCG27	Transverse	NA
